GLAID,Borough,Priority,Empty,Bedroom
729,Bromley,2,1 to 3 years,2B
731,Bromley,3,3 to 5 years,2B
732,Bromley,2,1 to 3 years,2B
735,Bromley,2,1 to 3 years,2B
736,Bromley,2,1 to 3 years,2B
737,Bromley,3,3 to 5 years,2B
738,Bromley,3,Over 5 years,2B
742,Bromley,2,1 to 3 years,2B
744,Bromley,2,1 to 3 years,2B
746,Bromley,4,Over 5 years,2B
747,Bromley,3,1 to 3 years,1B
748,Bromley,3,1 to 3 years,1B
749,Bromley,3,1 to 3 years,1B
752,Bromley,3,3 to 5 years,3B
753,Bromley,2,1 to 3 years,2B
754,Bromley,2,1 to 3 years,2B
757,Bromley,2,1 to 3 years,2B
758,Bromley,2,1 to 3 years,2B
759,Bromley,3,1 to 3 years,2B
762,Bromley,5,Over 5 years,5B+
763,Bromley,3,1 to 3 years,2B
764,Bromley,4,Over 5 years,2B
765,Bromley,3,Over 5 years,2B
766,Bromley,2,1 to 3 years,1B
767,Bromley,2,1 to 3 years,1B
768,Bromley,2,1 to 3 years,1B
769,Bromley,3,Over 5 years,2B
770,Bromley,3,Over 5 years,2B
771,Bromley,3,Over 5 years,2B
772,Bromley,4,1 to 3 years,1B
773,Bromley,4,Over 5 years,1B
774,Bromley,2,1 to 3 years,2B
775,Bromley,2,3 to 5 years,2B
776,Bromley,2,3 to 5 years,2B
777,Bromley,4,Over 5 years,2B
780,Bromley,2,1 to 3 years,1B
781,Bromley,2,1 to 3 years,2B
783,Bromley,2,3 to 5 years,2B
785,Bromley,2,1 to 3 years,3B
789,Bromley,3,Over 5 years,3B
790,Bromley,1,3 to 5 years,4B
791,Bromley,1,1 to 3 years,3B
792,Bromley,2,1 to 3 years,3B
793,Bromley,2,1 to 3 years,5B+
795,Bromley,1,1 to 3 years,2B
796,Bromley,3,1 to 3 years,2B
797,Bromley,3,1 to 3 years,2B
800,Bromley,2,1 to 3 years,3B
801,Bromley,2,1 to 3 years,1B
802,Bromley,1,1 to 3 years,2B
803,Bromley,5,Over 5 years,3B
804,Bromley,2,1 to 3 years,3B
805,Bromley,3,1 to 3 years,4B
807,Bromley,2,1 to 3 years,3B
808,Bromley,3,Over 5 years,3B
809,Bromley,2,1 to 3 years,5B+
810,Bromley,3,1 to 3 years,5B+
812,Bromley,3,1 to 3 years,4B
813,Bromley,2,1 to 3 years,1B
814,Bromley,1,1 to 3 years,3B
815,Bromley,3,1 to 3 years,1B
816,Bromley,1,Over 5 years,3B
817,Bromley,2,1 to 3 years,4B
818,Bromley,1,1 to 3 years,2B
819,Bromley,3,1 to 3 years,2B
820,Bromley,2,1 to 3 years,2B
821,Bromley,4,Over 5 years,2B
823,Bromley,2,1 to 3 years,2B
824,Bromley,2,1 to 3 years,2B
825,Bromley,2,1 to 3 years,2B
826,Bromley,3,1 to 3 years,5B+
828,Bromley,2,1 to 3 years,5B+
829,Bromley,4,1 to 3 years,5B+
830,Bromley,3,Over 5 years,2B
831,Bromley,3,1 to 3 years,3B
832,Bromley,3,Over 5 years,2B
833,Bromley,3,Over 5 years,2B
834,Bromley,2,1 to 3 years,4B
836,Bromley,2,1 to 3 years,2B
837,Bromley,2,1 to 3 years,2B
838,Bromley,2,1 to 3 years,2B
841,Bromley,2,1 to 3 years,2B
842,Bromley,4,Over 5 years,4B
843,Bromley,1,1 to 3 years,3B
844,Bromley,1,1 to 3 years,4B
845,Bromley,1,1 to 3 years,3B
846,Bromley,1,1 to 3 years,2B
